Group	Scan Group	Scan Identity	Res	Sections
28	CCR-2-B6	CCR-2-0232	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0233	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0234	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0235	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0236	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0237	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0238	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0239	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0240	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0241	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]













































